DateTime,AddedIPs,RemovedIPs
1585203100,0,1
1585206708,1,2
1585210299,0,1
1585217504,1,1
1585224702,0,1
1585228293,0,1
1585232100,1,1
1585239102,1,1
1585242694,1,1
1585246312,3,1
1585249919,4,2
1585253498,1,0
1585257115,35,1
1585260729,2,0
1585264307,0,1
1585267936,2,0
1585271513,4,1
1585275251,1,40
1585278695,0,1
1585282291,4,5
1585286048,0,2
1585289501,0,2
1585293079,1,1
1585296696,2,0
1585300285,1,3
1585304160,0,2
1585307476,0,3
1585311074,3,1
1585314682,2,0
1585318449,1,0
1585325487,4,2
1585329095,2,0
1585332702,1,1
1585336299,2,2
1585340051,4,1
1585343493,2,1
1585347108,1,2
1585350711,36,4
1585354309,1,3
1585357922,2,1
1585361660,3,1
1585365110,2,1
1585368703,4,1
1585372319,1,1
1585379491,2,34
1585383096,1,0
1585386707,1,0
1585390320,1,1
1585394029,1,0
1585397507,2,2
1585401104,2,2
1585404861,6,6
1585408304,6,1
1585411918,7,3
1585415511,9,2
1585419131,12,1
1585422715,17,1
1585426328,5,1
1585429944,5,0
1585433544,2,1
1585437142,35,4
1585440735,4,1
1585444360,2,0
1585448152,3,0
1585451535,3,1
1585455146,2,1
1585458747,1,0
1585462351,0,4
1585465960,0,1
1585473134,0,2
1585476758,0,1
1585480338,0,1
1585483955,4,6
1585487541,2,24
1585491314,2,1
1585494733,1,1
1585498339,0,4
1585502041,0,2
1585505544,2,3
1585509131,4,0
1585512730,2,1
1585516337,0,1
1585523542,6,2
1585527131,0,1
1585530739,1,0
1585534503,1,0
1585545129,0,2
1585548747,1,1
1585552331,1,0
1585559542,0,1
1585563157,1,1
1585566748,34,1
1585570353,0,8
1585573955,0,21
1585577703,0,3
1585581143,2,2
1585584734,1,1
1585588335,3,1
1585592209,1,0
1585595545,1,2
1585602729,0,1
1585606346,1,2
1585610064,3,0
1585613534,2,1
1585617134,1,2
1585620907,0,1
1585624326,1,4
1585627950,0,2
1585631538,3,0
1585635153,3,3
1585638742,1,1
1585642333,0,1
1585645956,2,0
1585649549,0,1
1585653136,7,1
1585656760,27,0
1585660349,1,2
1585664165,0,2
1585667554,0,2
1585671151,4,3
1585674729,2,32
1585678351,3,3
1585681948,1,5
1585685526,2,2
1585689126,5,3
1585692738,2,4
1585696320,0,5
1585699936,2,2
1585703515,2,0
1585707315,2,0
1585710715,2,1
1585714327,4,0
1585718076,0,4
1585721533,0,1
1585725117,0,1
1585728717,0,1
1585732313,1,0
1585739520,6,3
1585743125,29,1
1585746728,3,0
1585750541,2,4
1585753962,14,1
1585757535,2,3
1585761123,2,39
1585764739,2,1
1585768332,7,2
1585772102,4,1
1585775538,2,2
1585779146,38,31
1585782736,9,2
1585786324,1,2
1585789948,2,1
1585793743,37,28
1585797136,0,3
1585800727,0,1
1585804333,2,0
1585811535,2,2
1585815145,1,0
1585818743,3,1
1585822358,2,1
1585829537,0,1
1585836940,0,2
1585840363,2,1
1585843967,2,2
1585847542,3,1
1585851162,2,2
1585854742,2,5
1585858338,1,2
1585861968,35,27
1585865563,1,2
1585872737,3,2
1585876344,6,3
1585880156,1,3
1585883535,0,2
1585887136,2,0
1585890736,0,3
1585894359,1,0
1585901537,0,3
1585905137,0,1
1585908756,3,0
1585912343,0,3
1585915959,2,2
1585919535,2,2
1585923334,30,0
1585926743,0,1
1585930354,2,3
1585934105,2,3
1585937566,2,2
1585941154,2,0
1585944755,2,2
1585948356,2,2
1585955547,28,33
1585959155,0,1
1585962744,2,2
1585966538,1,2
1585969975,4,2
1585973552,2,3
1585977156,2,1
1585980770,1,0
1585988127,0,2
1585991556,2,0
1585998753,1,1
1586002356,1,0
1586005980,1,1
1586009730,2,4
1586013143,0,5
1586016741,0,5
1586020343,2,6
1586027529,3,18
1586031135,5,12
1586034717,2,23
1586038333,1,4
1586042088,2,28
1586045510,4,2
1586049115,2,3
1586052872,1,3
1586056319,1,5
1586059930,3,1
1586063515,1,0
1586074318,7,0
1586077942,23,1
1586081544,2,0
1586085132,1,1
1586092329,0,1
1586096125,1,2
1586099520,3,1
1586103137,4,2
1586106725,4,1
1586110349,3,2
1586113950,0,1
1586117531,0,1
1586121145,4,1
1586124754,2,1
1586128336,0,2
1586131953,0,4
1586135546,4,0
1586139289,2,1
1586142737,1,0
1586146334,2,2
1586153551,1,2
1586157141,0,3
1586160739,3,0
1586164341,24,1
1586171543,3,33
1586175127,3,1
1586178742,1,1
1586185950,1,3
1586189542,5,1
1586193169,33,2
1586196807,31,0
1586200420,27,1
1586204138,3,2
1586207611,2,1
1586211224,0,1
1586218413,4,1
1586222038,3,1
1586225623,0,1
1586229234,1,1
1586232827,3,1
1586236415,0,2
1586240037,1,2
1586243633,0,2
1586247216,3,1
1586250834,24,3
1586261619,5,24
1586265218,3,2
1586268814,3,0
1586272437,1,0
1586276037,4,3
1586279629,2,2
1586283223,2,4
1586286833,2,3
1586290420,2,0
1586294033,1,2
1586297613,1,2
1586304814,4,1
1586308410,0,2
1586312160,2,2
1586315628,2,2
1586319219,0,3
1586322820,0,1
1586326412,0,2
1586333604,2,0
1586337206,2,0
1586340808,2,0
1586348026,5,27
1586351595,2,5
1586355201,1,2
1586358821,28,24
1586362406,1,0
1586366151,4,1
1586369602,5,2
1586373220,3,3
1586376805,4,4
1586380406,2,1
1586384051,26,22
1586387767,3,19
1586391201,19,7
1586394810,4,2
1586398421,20,28
1586409220,1,1
1586412813,0,1
1586423600,0,1
1586427206,1,1
1586434418,2,0
1586438019,0,3
1586441601,1,0
1586445230,30,0
1586448827,1,1
1586452429,1,1
1586456047,1,2
1586459638,2,0
1586463217,0,1
1586466808,6,35
1586470415,3,2
1586477612,4,3
1586481237,57,0
1586484850,6,4
1586488435,2,3
1586495634,3,3
1586499237,3,2
1586502833,0,1
1586506436,1,0
1586513638,2,4
1586517235,1,3
1586520831,1,2
1586524424,3,2
1586531619,4,32
1586535226,5,2
1586538827,3,1
1586542443,28,0
1586549628,2,3
1586553231,1,3
1586556834,4,20
1586560438,5,2
1586567648,6,4
1586571241,2,3
1586574838,3,2
1586585643,4,1
1586589240,2,2
1586592844,3,1
1586603642,4,2
1586607245,1,0
1586610848,1,0
1586614446,1,1
1586621641,5,2
1586625240,0,1
1586632454,6,3
1586639655,26,4
1586643257,3,3
1586646853,2,4
1586650446,2,3
1586657666,4,1
